,BusinessEntityID,JobTitle,MaritalStatus,OrganizationLevel,Gender,TienLuong,SoNamLamViec,Rate
0,1,Chief Executive Officer,S,,M,28112.0,13,125.5
1,2,Vice President of Engineering,S,1.0,F,14215.376,14,63.4615
2,3,Engineering Manager,M,2.0,M,9692.3008,15,43.2692
3,4,Senior Tool Designer,S,3.0,M,6685.5488,12,8.62
4,4,Senior Tool Designer,S,3.0,M,6685.5488,12,8.62
5,4,Senior Tool Designer,S,3.0,M,6685.5488,12,23.72
6,4,Senior Tool Designer,S,3.0,M,6685.5488,12,23.72
7,4,Senior Tool Designer,S,3.0,M,6685.5488,12,29.8462
8,4,Senior Tool Designer,S,3.0,M,6685.5488,12,29.8462
9,5,Design Engineer,M,3.0,F,7323.0752,14,32.6923
10,6,Design Engineer,M,3.0,M,7323.0752,14,32.6923
11,7,Research and Development Manager,M,3.0,M,11307.6992,13,50.4808
12,8,Research and Development Engineer,S,4.0,F,9153.8496,14,40.8654
13,9,Research and Development Engineer,M,4.0,F,9153.8496,13,40.8654
14,10,Research and Development Manager,M,4.0,M,9515.6992,13,42.4808
15,11,Senior Tool Designer,S,3.0,M,6461.5488,12,28.8462
16,12,Tool Designer,M,4.0,M,5600.0,15,25.0
17,13,Tool Designer,M,4.0,F,5600.0,12,25.0
18,14,Senior Design Engineer,S,3.0,M,8076.9248,12,36.0577
19,15,Design Engineer,M,3.0,F,7323.0752,11,32.6923
20,16,Marketing Manager,S,1.0,M,8400.0,13,24.0
21,16,Marketing Manager,S,1.0,M,8400.0,13,24.0
22,16,Marketing Manager,S,1.0,M,8400.0,13,28.75
23,16,Marketing Manager,S,1.0,M,8400.0,13,28.75
24,16,Marketing Manager,S,1.0,M,8400.0,13,37.5
25,16,Marketing Manager,S,1.0,M,8400.0,13,37.5
26,17,Marketing Assistant,S,2.0,M,3015.376,15,13.4615
27,18,Marketing Specialist,S,2.0,M,3230.7744,11,14.4231
28,19,Marketing Assistant,S,2.0,F,3015.376,11,13.4615
29,20,Marketing Assistant,M,2.0,F,3015.376,11,13.4615
30,21,Marketing Specialist,M,2.0,M,3230.7744,13,14.4231
31,22,Marketing Specialist,S,2.0,M,3230.7744,14,14.4231
32,23,Marketing Specialist,M,2.0,F,3230.7744,13,14.4231
33,24,Marketing Specialist,M,2.0,F,3230.7744,13,14.4231
34,25,Vice President of Production,S,1.0,M,18846.1504,13,84.1346
35,26,Production Control Manager,M,2.0,M,5492.3008,14,24.5192
36,27,Production Supervisor - WC60,S,3.0,F,5600.0,14,25.0
37,28,Production Technician - WC60,M,4.0,M,2988.0,16,12.45
38,29,Production Technician - WC60,S,4.0,M,2988.0,13,12.45
39,30,Production Technician - WC60,M,4.0,F,2988.0,13,12.45
40,31,Production Technician - WC60,M,4.0,F,2988.0,13,12.45
41,32,Production Technician - WC60,M,4.0,F,2988.0,14,12.45
42,33,Production Technician - WC60,M,4.0,M,2988.0,14,12.45
43,34,Production Technician - WC60,M,4.0,F,2988.0,13,12.45
44,35,Production Technician - WC60,M,4.0,M,2988.0,13,12.45
45,36,Production Technician - WC60,M,4.0,M,2988.0,13,12.45
46,37,Production Technician - WC60,S,4.0,M,2988.0,13,12.45
47,38,Production Technician - WC60,M,4.0,F,2988.0,12,12.45
48,39,Production Technician - WC60,S,4.0,M,2988.0,12,12.45
49,40,Production Supervisor - WC60,S,3.0,F,5600.0,15,25.0
50,41,Production Technician - WC60,S,4.0,M,2988.0,13,12.45
51,42,Production Technician - WC60,M,4.0,M,2988.0,14,12.45
52,43,Production Technician - WC60,M,4.0,F,2988.0,13,12.45
53,44,Production Technician - WC60,S,4.0,M,2988.0,14,12.45
54,45,Production Technician - WC60,M,4.0,M,2988.0,13,12.45
55,46,Production Technician - WC60,S,4.0,M,2988.0,13,12.45
56,47,Production Supervisor - WC10,S,3.0,M,5600.0,13,25.0
57,48,Production Technician - WC10,M,4.0,F,3228.0,14,13.45
58,49,Production Technician - WC10,S,4.0,M,3228.0,14,13.45
59,50,Production Technician - WC10,M,4.0,M,3228.0,14,13.45
60,51,Production Technician - WC10,S,4.0,M,3228.0,14,13.45
61,52,Production Technician - WC10,M,4.0,F,3228.0,14,13.45
62,53,Production Technician - WC10,M,4.0,F,3228.0,14,13.45
63,54,Production Technician - WC10,M,4.0,F,3228.0,12,13.45
64,55,Production Supervisor - WC50,M,3.0,M,5600.0,14,25.0
65,56,Production Technician - WC50,M,4.0,F,2640.0,13,11.0
66,57,Production Technician - WC50,S,4.0,M,2640.0,13,11.0
67,58,Production Technician - WC50,M,4.0,M,2640.0,14,11.0
68,59,Production Technician - WC50,S,4.0,M,2640.0,14,11.0
