BusinessEntityID,MaritalStatus,YearlyIncome,Gender,TotalChildren,NumberChildrenAtHome,Education,Occupation,HomeOwnerFlag,NumberCarsOwned,BikeBuyer 
14116,S,0-25000,F,2,2,High School,Manual,1,0,1
14173,S,25001-50000,M,4,2,High School,Skilled Manual,1,2,0
14175,S,25001-50000,M,1,0,Bachelors ,Clerical,0,1,0
14182,S,25001-50000,F,2,0,Partial College,Skilled Manual,1,2,1
14209,S,0-25000,F,0,0,High School,Manual,0,2,1
14214,S,0-25000,F,3,3,High School,Manual,1,0,1
14248,S,25001-50000,F,1,0,Partial College,Clerical,0,1,0
14250,S,0-25000,M,1,0,Bachelors ,Manual,0,0,0
14273,S,25001-50000,M,0,0,High School,Skilled Manual,1,2,0
14384,S,0-25000,F,1,0,Bachelors ,Clerical,1,0,1
14416,S,0-25000,M,0,0,High School,Manual,0,1,1
14350,S,25001-50000,M,0,0,High School,Skilled Manual,1,2,0
14348,S,0-25000,F,0,0,Partial College,Manual,0,1,1
14357,S,0-25000,F,0,0,Partial High School,Manual,1,2,0
14366,S,50001-75000,F,0,0,Bachelors ,Professional,0,1,0
14368,S,25001-50000,F,0,0,High School,Manual,0,1,1
14391,S,greater than 100000,M,1,2,Graduate Degree,Management,0,3,1
14400,S,50001-75000,M,0,0,Graduate Degree,Professional,1,0,1
14423,S,0-25000,M,3,3,High School,Manual,1,0,0
14425,S,greater than 100000,M,0,1,Graduate Degree,Management,1,0,1
14432,S,25001-50000,M,2,0,Partial College,Clerical,1,1,1
14459,S,50001-75000,M,4,0,Graduate Degree,Management,1,2,1
14493,S,0-25000,M,2,2,High School,Manual,1,1,1
14525,S,0-25000,M,1,0,Bachelors ,Manual,1,0,0
14557,S,50001-75000,M,2,1,High School,Professional,0,2,1
14593,S,50001-75000,M,4,0,Bachelors ,Management,1,2,0
14600,S,0-25000,M,1,1,High School,Manual,1,1,1
14602,S,50001-75000,M,2,0,High School,Skilled Manual,1,2,1
14625,S,0-25000,M,0,0,Bachelors ,Clerical,0,0,1
14627,S,0-25000,M,3,3,High School,Manual,1,1,1
14632,S,0-25000,M,0,0,Partial High School,Manual,0,1,0
14351,S,25001-50000,F,2,2,Partial College,Clerical,1,0,0
14358,S,25001-50000,M,0,0,Bachelors ,Professional,0,1,0
14376,S,25001-50000,F,2,0,Partial College,Clerical,0,2,1
14383,S,25001-50000,M,3,0,Bachelors ,Management,0,2,0
14390,S,25001-50000,F,0,0,Graduate Degree,Clerical,1,0,1
14401,S,0-25000,M,2,0,Partial College,Manual,0,1,0
14408,S,greater than 100000,M,0,0,Bachelors ,Management,0,1,0
14458,S,0-25000,M,2,1,High School,Skilled Manual,1,2,0
14465,S,25001-50000,M,0,0,Bachelors ,Clerical,0,0,1
14476,S,25001-50000,M,2,2,Partial College,Clerical,1,0,0
14508,S,25001-50000,M,0,0,Partial High School,Clerical,0,2,0
14533,S,greater than 100000,M,1,0,Graduate Degree,Management,1,1,1
14540,S,50001-75000,M,2,2,Bachelors ,Professional,0,1,1
14569,S,25001-50000,M,0,0,Bachelors ,Professional,0,1,1
14583,S,greater than 100000,M,4,4,Partial College,Professional,0,4,0
14424,S,50001-75000,M,4,2,Bachelors ,Skilled Manual,0,2,0
14460,S,50001-75000,M,2,1,Bachelors ,Management,1,0,0
14467,S,75001-100000,M,2,0,High School,Skilled Manual,0,2,1
14474,S,25001-50000,M,0,0,Partial College,Clerical,0,1,1
14485,S,25001-50000,M,0,0,High School,Skilled Manual,1,2,1
14499,S,25001-50000,M,0,0,Partial College,Clerical,0,1,1
13256,S,50001-75000,M,2,1,Partial College,Professional,1,2,0
14517,S,greater than 100000,M,1,3,Bachelors ,Management,1,3,1
14535,S,0-25000,M,2,1,Partial High School,Clerical,0,2,1
13320,S,0-25000,M,0,0,Partial High School,Manual,0,2,0
13599,S,0-25000,M,0,0,Partial College,Manual,0,1,1
13606,S,75001-100000,M,3,1,High School,Professional,1,2,1
14617,S,0-25000,M,2,0,Partial College,Manual,0,1,0
14635,S,greater than 100000,M,0,5,Partial College,Management,0,3,1
13674,S,75001-100000,M,5,0,Graduate Degree,Skilled Manual,0,0,0
14660,S,0-25000,M,0,0,Partial High School,Manual,1,2,0
14667,S,50001-75000,M,0,0,Partial College,Skilled Manual,0,2,1
14674,S,0-25000,M,0,0,Partial High School,Manual,0,2,0
14685,S,25001-50000,M,4,4,Partial College,Clerical,1,1,1
14692,S,50001-75000,M,5,5,Graduate Degree,Professional,1,2,0
14710,S,0-25000,M,3,0,Partial High School,Clerical,0,2,0
13806,S,25001-50000,F,3,0,Bachelors ,Clerical,1,0,1
13949,S,25001-50000,F,0,0,Partial High School,Skilled Manual,0,2,1
14735,S,25001-50000,M,2,1,High School,Professional,0,1,1
13069,S,50001-75000,F,4,0,Graduate Degree,Skilled Manual,1,0,0
14486,S,50001-75000,M,3,2,Bachelors ,Professional,1,2,1
